City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Port Elizabeth,ZA,2020-10-27 02:43:29,-33.92,25.57,64.4,93,90,16.11
97,Coquimbo,CL,2020-10-27 02:43:16,-29.95,-71.34,53.6,87,0,8.05
98,Longyearbyen,SJ,2020-10-27 02:38:59,78.22,15.64,26.6,86,75,6.93
99,Anloga,GH,2020-10-27 02:43:29,5.79,0.9,78.8,94,20,4.7
100,Vietri Sul Mare,IT,2020-10-27 02:43:29,40.67,14.73,64.99,89,98,4.0
101,Port Alfred,ZA,2020-10-27 02:40:59,-33.59,26.89,67.35,85,68,24.61
102,Severomuysk,RU,2020-10-27 02:43:29,56.15,113.43,7.84,90,0,3.67
103,Tiksi,RU,2020-10-27 02:43:29,71.69,128.87,6.24,93,96,5.03
104,Nagamangala,IN,2020-10-27 02:43:29,12.82,76.76,72.57,71,0,4.56
105,Ostrovnoy,RU,2020-10-27 02:43:30,68.05,39.51,41.58,93,100,20.56
106,Naze,JP,2020-10-27 02:43:30,28.37,129.48,78.8,57,20,9.17
107,Te Anau,NZ,2020-10-27 02:43:30,-45.42,167.72,59.25,51,2,7.27
108,Maniitsoq,GL,2020-10-27 02:43:30,65.42,-52.9,23.34,88,26,8.25
109,Rio Grande,BR,2020-10-27 02:39:15,-32.03,-52.1,60.01,99,100,10.0
110,Guaruja,BR,2020-10-27 02:43:30,-23.99,-46.26,73.99,26,21,6.04
111,Collie,AU,2020-10-27 02:43:30,-33.37,116.15,66.99,65,90,11.99
112,Alta,NO,2020-10-27 02:41:09,69.97,23.27,32.0,92,70,14.99
113,Gurupi,BR,2020-10-27 02:39:32,-11.73,-49.07,74.91,83,100,5.06
114,Isangel,VU,2020-10-27 02:43:31,-19.55,169.27,84.2,54,75,9.17
115,Kysyl-Syr,RU,2020-10-27 02:43:31,63.9,122.76,11.3,92,96,6.96
116,Saint-Pierre,RE,2020-10-27 02:43:31,-21.34,55.48,73.4,78,75,3.36
117,Myitkyina,MM,2020-10-27 02:43:31,25.38,97.4,83.7,59,0,1.59
118,Chokurdakh,RU,2020-10-27 02:43:31,70.63,147.92,6.85,95,100,9.62
119,Guerrero Negro,MX,2020-10-27 02:43:31,27.98,-114.06,65.88,37,0,14.72
120,Vardo,NO,2020-10-27 02:38:33,70.37,31.11,39.99,79,11,19.93
121,Hilo,US,2020-10-27 02:43:32,19.73,-155.09,75.99,88,90,9.17
122,Hualmay,PE,2020-10-27 02:39:09,-11.1,-77.61,63.27,84,81,8.19
123,Zharkent,KZ,2020-10-27 02:41:07,44.16,80.0,54.54,35,80,4.41
124,Nome,US,2020-10-27 02:43:32,64.5,-165.41,35.6,64,1,9.17
125,Lasa,IT,2020-10-27 02:40:54,46.62,10.7,45.0,86,75,10.29
126,Kavaratti,IN,2020-10-27 02:43:32,10.57,72.64,82.0,70,26,5.28
127,Fukue,JP,2020-10-27 02:43:32,32.69,128.84,69.8,49,75,5.82
128,Cabra,ES,2020-10-27 02:43:32,37.47,-4.44,45.0,93,0,1.12
129,Khandbari,NP,2020-10-27 02:43:32,27.37,87.2,73.45,45,0,1.14
130,Bethel,US,2020-10-27 02:43:33,41.37,-73.41,54.0,100,90,1.52
