City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Cabo San Lucas,MX,22.89,-109.91,88.0,54,3,1.99,clear sky
123,Nueva Granada,CO,9.8,-74.39,83.25,76,80,5.55,light rain
124,Hermanus,ZA,-34.42,19.23,64.99,78,0,8.01,clear sky
125,Lebu,CL,-37.62,-73.65,58.77,76,8,7.47,clear sky
126,Altamira,BR,-3.2,-52.21,93.2,46,75,8.05,broken clouds
127,Chuy,UY,-33.7,-53.46,66.2,46,0,10.04,clear sky
128,Lasa,IT,46.62,10.7,50.0,66,75,3.36,broken clouds
129,Tuktoyaktuk,CA,69.45,-133.04,3.2,84,75,5.82,broken clouds
130,Norman Wells,CA,65.28,-126.83,5.0,71,75,8.05,broken clouds
131,Taoudenni,ML,22.68,-3.98,83.44,15,41,5.48,scattered clouds
132,Rawlins,US,41.79,-107.24,53.6,25,1,20.8,clear sky
133,Hofn,IS,64.25,-15.21,41.0,56,20,16.11,few clouds
134,San Cristobal,VE,7.77,-72.22,84.2,62,40,4.7,scattered clouds
135,Beringovskiy,RU,63.05,179.32,22.93,96,100,4.59,overcast clouds
136,Leningradskiy,RU,69.38,178.42,13.62,82,63,5.91,broken clouds
137,Naousa,GR,40.63,22.05,60.01,61,26,2.04,scattered clouds
138,Norfolk,US,42.17,-71.25,50.0,66,75,6.93,broken clouds
139,Paamiut,GL,61.99,-49.67,26.55,93,70,4.94,broken clouds
140,Cabinda,AO,-5.55,12.2,78.67,85,72,9.37,broken clouds
141,Kruisfontein,ZA,-34.0,24.73,66.0,74,19,5.99,few clouds
142,Shimoda,JP,34.67,138.95,52.0,84,94,2.53,overcast clouds
143,Murray,US,40.67,-111.89,61.0,33,1,2.24,clear sky
144,Tuatapere,NZ,-46.13,167.68,48.0,79,51,11.01,broken clouds
145,Debre Zeyit,ET,8.75,38.98,62.6,59,40,11.41,scattered clouds
146,Provideniya,RU,64.38,-173.3,21.87,86,0,2.3,clear sky
147,Codrington,AU,-38.27,141.97,48.4,85,85,8.57,overcast clouds
148,Buraydah,SA,26.33,43.98,73.4,35,0,8.05,clear sky
149,Hobart,AU,-42.88,147.33,57.2,82,90,5.82,overcast clouds
150,Ilulissat,GL,69.22,-51.1,21.2,57,100,6.93,overcast clouds
151,Cape Town,ZA,-33.93,18.42,66.99,82,0,11.41,clear sky
152,Usinsk,RU,65.99,57.53,27.99,97,91,13.33,light snow
153,Chokurdakh,RU,70.63,147.92,0.57,94,100,10.27,overcast clouds
154,Koumac,NC,-20.57,164.28,73.71,81,3,5.01,clear sky
155,Arraial Do Cabo,BR,-22.97,-42.03,71.6,73,75,25.28,broken clouds
156,Sankheda,IN,22.17,73.58,74.86,39,1,4.18,clear sky
157,Lompoc,US,34.64,-120.46,75.2,28,1,3.36,clear sky
158,Hohhot,CN,40.81,111.65,30.2,39,0,6.71,clear sky
159,Tezu,IN,27.92,96.17,71.38,74,69,2.08,broken clouds
160,Buala,SB,-8.14,159.59,80.62,78,97,2.93,light rain
161,Krynychky,UA,48.38,34.47,50.0,93,75,11.18,light intensity shower rain
162,Carnarvon,AU,-24.87,113.63,68.0,64,40,19.46,scattered clouds
163,Ust-Koksa,RU,50.27,85.61,25.63,86,2,0.6,clear sky
164,Khatanga,RU,71.97,102.5,0.84,92,98,4.47,overcast clouds
165,Carmo Do Rio Claro,BR,-20.97,-46.12,74.5,59,83,6.22,light rain
166,Ancud,CL,-41.87,-73.82,70.0,52,0,5.82,clear sky
167,Darovskoy,RU,58.77,47.96,28.35,96,0,3.38,clear sky
168,Vardo,NO,70.37,31.11,39.2,86,75,28.86,broken clouds
169,Ishnya,RU,57.19,39.36,35.6,80,90,8.95,overcast clouds
170,Lamu,KE,-2.27,40.9,78.8,83,1,8.05,clear sky
171,Purpe,RU,64.48,76.69,27.1,98,84,20.02,broken clouds
172,Zhanaozen,KZ,43.3,52.8,60.51,27,2,13.76,clear sky
173,Pemangkat,ID,1.17,108.97,80.13,80,78,5.97,light rain
174,Teguldet,RU,57.31,88.17,33.82,91,100,12.06,overcast clouds
175,Naze,JP,28.37,129.48,71.6,94,75,3.36,broken clouds
176,Lavrentiya,RU,65.58,-171.0,21.76,89,0,4.65,clear sky
177,Chauk,MM,20.88,94.82,77.07,82,83,2.37,broken clouds
178,Kurilsk,RU,45.23,147.88,50.05,87,70,14.52,broken clouds
179,La Palma,US,33.85,-118.05,75.0,49,1,4.7,haze
180,Port Augusta,AU,-32.5,137.77,63.0,82,3,4.7,clear sky
181,Alofi,NU,-19.06,-169.92,73.4,94,56,11.41,broken clouds
182,Boa Vista,BR,2.82,-60.67,82.4,69,75,16.11,shower rain
183,Shirokiy,RU,49.76,129.52,27.48,98,100,7.02,overcast clouds
184,Jiangyou,CN,31.77,104.72,55.76,59,30,0.76,light rain
185,Sao Filipe,CV,14.9,-24.5,80.08,72,0,10.51,clear sky
186,Carutapera,BR,-1.2,-46.02,87.26,57,47,9.06,scattered clouds
187,Longview,US,32.5,-94.74,71.6,35,1,11.41,clear sky
188,North Platte,US,41.12,-100.77,51.8,29,1,9.17,clear sky
189,Buchanan,LR,5.88,-10.05,79.7,85,53,7.61,light rain
190,Tasiilaq,GL,65.61,-37.64,32.0,96,100,1.12,overcast clouds
191,Faanui,PF,-16.48,-151.75,79.21,81,68,20.94,broken clouds
192,Kargasok,RU,59.06,80.86,33.89,97,100,11.48,overcast clouds
193,Panji,ID,-7.73,114.1,75.96,82,55,3.94,moderate rain
194,Gao,ML,16.64,1.64,85.19,14,59,11.92,broken clouds
195,Paraiso,CR,9.84,-83.87,78.8,69,40,4.7,scattered clouds
196,Eskil,TR,38.4,33.41,52.38,60,6,10.33,clear sky
197,Cidreira,BR,-30.18,-50.21,66.6,63,25,10.18,scattered clouds
198,Paracuru,BR,-3.41,-39.03,82.0,76,33,21.0,scattered clouds
199,Novyy Urengoy,RU,66.08,76.63,27.48,97,97,19.01,overcast clouds
200,Aykhal,RU,66.0,111.5,1.4,84,0,6.71,clear sky
201,Tuntum,BR,-5.26,-44.65,95.72,37,73,2.77,broken clouds
202,Derzhavinsk,KZ,51.1,66.32,37.22,75,71,4.09,broken clouds
203,Urengoy,RU,65.97,78.37,26.49,97,97,16.73,overcast clouds
204,Quatre Cocos,MU,-20.21,57.76,71.6,64,40,10.29,scattered clouds
205,Peshawar,PK,34.01,71.58,66.2,39,0,4.7,haze
206,Wuwei,CN,37.93,102.64,40.35,56,90,3.15,overcast clouds
207,Upernavik,GL,72.79,-56.15,17.19,95,100,3.22,overcast clouds
208,Morgantown,US,39.63,-79.96,53.6,76,40,9.17,light rain
209,Qaanaaq,GL,77.48,-69.36,0.95,74,0,7.23,clear sky
210,Sobolevo,RU,54.43,31.9,41.7,87,100,11.5,light rain
211,Balakhninskiy,RU,58.01,114.28,7.48,84,48,1.61,scattered clouds
212,Champerico,GT,14.3,-91.92,87.8,62,75,9.17,broken clouds
213,Ribeira Do Pombal,BR,-10.83,-38.54,89.87,43,84,0.65,light rain
214,Hasaki,JP,35.73,140.83,59.0,93,75,2.24,broken clouds
215,Yellowknife,CA,62.46,-114.35,17.01,92,90,5.82,light snow
216,Antofagasta,CL,-23.65,-70.4,68.0,67,20,16.11,few clouds
217,Shubarshi,KZ,48.59,57.19,48.45,49,75,4.54,broken clouds
218,Atasu,KZ,48.68,71.64,39.31,58,99,3.74,overcast clouds
219,Mogadishu,SO,2.04,45.34,80.13,79,27,11.18,light rain
220,Bambous Virieux,MU,-20.34,57.76,71.6,64,40,10.29,scattered clouds
221,Macon,US,39.87,-88.97,45.0,39,1,25.28,clear sky
222,Rafraf,TN,37.19,10.18,64.4,72,0,3.36,clear sky
223,Nikolskoye,RU,59.7,30.79,33.01,100,90,8.95,fog
224,Acajutla,SV,13.59,-89.83,87.8,45,20,6.93,few clouds
225,Kaitangata,NZ,-46.28,169.85,48.99,65,78,4.0,broken clouds
226,Juneau,US,58.3,-134.42,39.2,93,90,6.93,moderate rain
227,Nantucket,US,41.28,-70.1,57.99,93,90,5.82,overcast clouds
228,Rio Gallegos,AR,-51.62,-69.22,66.2,32,0,13.87,clear sky
229,Hatton,LK,6.89,80.6,64.09,100,93,1.34,overcast clouds
230,Moletai,LT,55.23,25.42,45.0,81,90,2.24,overcast clouds
231,Aktash,RU,50.3,87.73,17.94,80,0,3.71,clear sky
232,Nacala,MZ,-14.54,40.67,78.03,66,39,4.47,scattered clouds
233,San Juan Bautista,PE,-14.01,-75.74,64.99,82,90,8.05,overcast clouds
234,Moose Factory,CA,51.26,-80.61,32.0,97,90,25.28,overcast clouds
235,Dunedin,NZ,-45.87,170.5,48.99,63,100,15.99,overcast clouds
236,Whitefish,US,48.41,-114.34,42.8,60,1,1.63,clear sky
237,Hambantota,LK,6.12,81.12,79.63,83,14,9.46,few clouds
238,Northam,GB,51.03,-4.22,62.01,93,99,18.99,overcast clouds
239,Puerto Gaitan,CO,4.31,-72.08,74.73,89,99,11.39,heavy intensity rain
240,Laguna,US,38.42,-121.42,69.01,37,1,2.91,clear sky
241,Daru,PG,-9.08,143.21,80.71,82,100,12.53,overcast clouds
242,Namibe,AO,-15.2,12.15,73.33,71,19,8.84,few clouds
243,Gazli,UZ,40.13,63.45,54.0,33,65,9.42,broken clouds
244,Wasilla,US,61.58,-149.44,17.6,84,1,4.7,clear sky
245,Xuanhua,CN,40.61,115.04,38.37,62,26,8.55,scattered clouds
246,Sicamous,CA,50.83,-118.99,43.0,93,58,1.12,broken clouds
247,Safranbolu,TR,41.25,32.69,46.22,79,60,2.82,broken clouds
248,Mattru,SL,7.62,-11.83,79.34,88,42,4.74,scattered clouds
249,Kutum,SD,14.2,24.67,80.11,21,53,9.44,broken clouds
250,Hailun,CN,47.45,126.93,28.26,96,74,9.53,broken clouds
251,Luang Prabang,LA,19.89,102.13,73.22,82,42,0.38,scattered clouds
252,Bintulu,MY,3.17,113.03,75.2,94,20,5.82,few clouds
253,West Lafayette,US,40.43,-86.91,41.0,51,90,23.04,overcast clouds
254,Bam,IR,29.11,58.36,56.46,31,0,3.27,clear sky
255,Wagga Wagga,AU,-35.12,147.37,51.8,93,0,3.04,clear sky
256,Coquimbo,CL,-29.95,-71.34,60.8,67,20,12.75,few clouds
257,Velikiy Ustyug,RU,60.76,46.31,28.26,97,14,3.51,few clouds
258,Colac,AU,-38.33,143.58,51.01,83,67,4.18,broken clouds
259,Yulara,AU,-25.24,130.99,78.8,19,3,11.41,clear sky
260,Souillac,MU,-20.52,57.52,71.6,64,40,10.29,scattered clouds
261,Caravelas,BR,-17.71,-39.25,69.96,94,100,12.66,light rain
262,Nikolayevsk-Na-Amure,RU,53.14,140.73,37.71,91,89,2.51,overcast clouds
263,Cedar City,US,37.68,-113.06,51.8,18,1,3.36,clear sky
264,Victoria,HK,22.29,114.16,75.0,75,29,1.01,scattered clouds
265,Cockburn Town,TC,21.46,-71.14,86.0,62,75,11.41,broken clouds
266,Weinan,CN,34.5,109.51,53.01,87,0,2.24,clear sky
267,Marsh Harbour,BS,26.54,-77.06,81.36,79,5,12.28,clear sky
268,Suleja,NG,9.18,7.18,82.4,61,0,2.24,clear sky
269,Bayan,CN,46.08,127.4,33.01,59,7,10.4,clear sky
270,Coihueco,CL,-36.62,-71.83,71.6,56,0,4.7,clear sky
271,Lingao,CN,19.91,109.69,71.08,86,31,4.79,scattered clouds
272,Port-Gentil,GA,-0.72,8.78,80.6,88,40,11.41,scattered clouds
273,Dahanu,IN,19.97,72.73,79.3,66,0,4.68,clear sky
274,Berlevag,NO,70.86,29.09,37.4,86,0,19.46,light rain
275,Sioux Lookout,CA,50.1,-91.92,23.0,53,20,12.75,few clouds
276,Honolulu,US,21.31,-157.86,75.2,78,20,3.36,few clouds
277,Verkhnyaya Inta,RU,65.98,60.31,28.6,95,100,14.25,overcast clouds
278,Padang,ID,-0.95,100.35,79.02,71,100,2.06,overcast clouds
279,Wellington,NZ,-41.29,174.78,57.2,82,82,14.99,moderate rain
280,Keffi,NG,8.85,7.87,82.4,61,0,2.24,clear sky
