City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
267,Marsh Harbour,BS,81.36,clear sky,26.54,-77.06,Abaco Beach Resort
268,Suleja,NG,82.4,clear sky,9.18,7.18,Capy Motel
272,Port-Gentil,GA,80.6,scattered clouds,-0.72,8.78,Fengshui Residence
273,Dahanu,IN,79.3,clear sky,19.97,72.73,Pearline Beach Villas
276,Honolulu,US,75.2,few clouds,21.31,-157.86,Aston at the Executive Centre Hotel
278,Padang,ID,79.02,overcast clouds,-0.95,100.35,Mercure Padang
280,Keffi,NG,82.4,clear sky,8.85,7.87,Imam Family
284,Namatanai,PG,80.04,light rain,-3.67,152.43,Namatanai Hotel
285,Sarangani,PH,82.87,overcast clouds,5.4,125.46,Ballistic Islet
286,Praya,CV,84.2,scattered clouds,14.92,-23.51,LT Aparthotel
287,Rosarito,MX,77.0,clear sky,32.33,-117.03,Hotel Festival Plaza Rosarito
290,Isangel,VU,75.27,clear sky,-19.55,169.27,Volcano Sea View Tree House
291,Celestun,MX,80.38,scattered clouds,20.87,-90.4,Posada Lilia
295,Manicore,BR,80.6,broken clouds,-5.81,-61.3,Pousada da wanda
302,General Pico,AR,80.92,clear sky,-35.66,-63.76,Hotel Malargue
303,Boyolangu,ID,75.9,moderate rain,-8.12,111.89,Yos ega cv
307,Miri,MY,77.0,light rain,4.41,114.01,"Mega Hotel, Miri"
308,Bandar-E Lengeh,IR,77.0,clear sky,26.56,54.88,کافی نت پارس
313,Sao Jose Da Coroa Grande,BR,81.5,broken clouds,-8.9,-35.15,Crôa Mares Hotel
317,Savannah Bight,HN,84.2,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
319,Maragogi,BR,81.27,broken clouds,-9.01,-35.22,Salinas do Maragogi All Inclusive Resort
321,Kampot,KH,77.0,few clouds,10.62,104.18,Champa Lodge
322,Marawi,PH,77.0,very heavy rain,8.0,124.29,Derogongan Residence
323,Manaure,CO,86.27,overcast clouds,11.78,-72.44,Del mar vendra
330,Simbahan,PH,82.69,overcast clouds,6.3,120.58,
331,Biak,ID,77.56,overcast clouds,-0.91,122.88,Kost Ariz
335,The Valley,AI,86.0,few clouds,18.22,-63.06,CeBlue Villas & Beach Resort
336,Black River,JM,87.01,scattered clouds,18.03,-77.85,Idlers' Rest Beach Hotel
337,Muisne,EC,86.0,scattered clouds,0.6,-80.03,Quinta Samay
339,Kang,BW,81.63,scattered clouds,-23.68,22.79,Kang Ultra Stop
341,Kavaratti,IN,82.24,clear sky,10.57,72.64,Hotels in Lakshadweep Islands
346,Cabedelo,BR,86.0,scattered clouds,-6.98,-34.83,Lua Mansa Pousada
347,Banda Aceh,ID,79.66,overcast clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
351,Kanniyakumari,IN,80.58,scattered clouds,8.08,77.57,Sparsa
354,Pathein,MM,76.05,broken clouds,16.78,94.73,Pathein Hotel
355,Hounde,BF,86.95,clear sky,11.5,-3.52,Carrefour où ouvriers dorment
356,Santa Fe,AR,82.99,clear sky,-31.63,-60.7,Conquistador Hotel
360,Calabozo,VE,84.16,light rain,8.92,-67.43,Hotel Giardini
362,Kailua,US,75.2,few clouds,21.4,-157.74,Sheffield House Bed & Breakfast
363,Ormara,PK,76.35,clear sky,25.21,64.64,
366,Joao Camara,BR,84.2,scattered clouds,-5.54,-35.82,Pousada Miguel Teixeira
367,Camapua,BR,84.22,clear sky,-19.53,-54.04,Comercial Estrela
371,Lufilufi,WS,77.0,scattered clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
373,Tarpon Springs,US,84.99,light rain,28.15,-82.76,"Innisbrook, A Salamander Golf and Spa Resort"
374,Caibarien,CU,87.8,scattered clouds,22.52,-79.47,La Nena
377,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
382,Trincomalee,LK,82.0,broken clouds,8.57,81.23,Welcombe Hotel
391,Samarai,PG,81.09,few clouds,-10.62,150.67,Nuli Sapi
399,Tautira,PF,82.4,shower rain,-17.73,-149.15,Pension Oaoa
402,Madang,PG,76.95,light rain,-5.22,145.8,Comfort Inn Hotel
405,Khorramshahr,IR,78.8,clear sky,30.44,48.17,دفتر نمایندگی شرکت بازاریابان ایرانیان زمینBIZ
411,Isla Mujeres,MX,82.4,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
413,Santa Isabel Do Rio Negro,BR,77.54,overcast clouds,-0.41,-65.02,Hotel GSA
414,Sosua,DO,87.8,scattered clouds,19.77,-70.52,Piergiorgio Palace Hotel
419,Princeton,US,87.8,broken clouds,25.54,-80.41,American Best Inn
430,Vila Velha,BR,75.2,broken clouds,-20.33,-40.29,Hotel Vitória Palace
431,Fare,PF,80.53,light rain,-16.7,-151.02,Maitai Lapita Village Huahine
437,Los Llanos De Aridane,ES,80.6,clear sky,28.66,-17.92,Valle Aridane
439,Gibara,CU,87.8,broken clouds,21.11,-76.13,Sol y Mar
444,Mango,US,86.0,scattered clouds,27.98,-82.31,Embassy Suites by Hilton Tampa Brandon - OPEN
446,Reconquista,AR,78.75,clear sky,-29.15,-59.65,Grand Hotel
448,Vanimo,PG,78.82,light rain,-2.67,141.3,Vahmoneh Lodge Vanimo
454,Sola,VU,82.4,broken clouds,-13.88,167.55,Ulkel Guest House
464,Wajid,SO,78.57,light rain,3.81,43.25,Hotel Haji Aden Yare
473,Liwale,TZ,76.28,broken clouds,-9.77,37.93,Samoma Lodge
474,Adrar,MR,85.46,overcast clouds,20.5,-10.07,
479,Yaan,NG,82.06,broken clouds,7.38,8.57,
480,Bonthe,SL,81.82,scattered clouds,7.53,-12.51,Bonthe Holiday Village
482,Anloga,GH,82.4,scattered clouds,5.79,0.9,Pin Drop Hotel
488,Bahia Blanca,AR,82.47,scattered clouds,-38.72,-62.27,Hotel Argos
489,Cam Ranh,VN,80.6,scattered clouds,11.92,109.16,OYO 598 Peony Hotel
490,Abeche,TD,81.59,scattered clouds,13.83,20.83,Assaleh Hamdan Haroune
491,Soyo,AO,78.78,broken clouds,-6.13,12.37,Hotel Mpampa
494,Touros,BR,84.2,scattered clouds,-5.2,-35.46,INN NEW HORIZON
498,Kahului,US,78.8,few clouds,20.89,-156.47,Maui Seaside Hotel
509,Ixtapa,MX,86.0,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
510,Davila,PH,80.6,overcast clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
